feature,importance
dist_min_log,0.09825629241648681
log1p_area_first,0.09258716571953803
dist_min_ci_0_5h,0.08446927040092024
area_first_ha,0.08217695758232939
hour_cos,0.044444217416810795
event_start_dayofweek,0.042641013315500534
hour_sin,0.04055218925110256
event_start_hour,0.04046085143989912
dist_accel_m_per_h2,0.03648077438373044
alignment_cos,0.03439911276257349
alignment_abs,0.03252364702949663
dist_slope_ci_0_5h,0.03039488198731579
dt_first_last_0_5h,0.030030904967304782
event_start_month,0.02946697283552778
month_cos,0.02693984063671065
num_perimeters_0_5h,0.024757178337151124
month_sin,0.019241500527556382
is_weekend,0.01844162612476955
spread_bearing_deg,0.011934476937940357
spread_bearing_sin,0.010823857971519331
dist_bin,0.01077712531793104
radial_growth_m,0.009792653444152402
growth_x_proximity,0.009590549003397918
spread_bearing_cos,0.009585541045186196
along_track_speed,0.009002728782850035
log1p_growth,0.007758334342886769
centroid_displacement_m,0.007683210453363875
area_growth_rate_ha_per_h,0.007585288159385658
log_area_ratio_0_5h,0.007461541616263684
centroid_speed_m_per_h,0.007382696677970041
cross_track_component,0.007332179294610207
area_growth_abs_0_5h,0.0071573967852266
is_daytime,0.00667647119455628
area_growth_rel_0_5h,0.00645759411028298
dist_fit_r2_0_5h,0.006279041074783241
closing_speed_m_per_h,0.005976261022898959
alignment_x_speed,0.005536719304752504
dist_std_ci_0_5h,0.005128683415983345
projected_advance_m,0.005072845984417504
dist_change_ci_0_5h,0.004822061308677936
threat_score,0.004796886366640014
advance_ratio,0.004244041485057023
low_temporal_resolution_0_5h,0.004164754606234291
projected_arrival_h,0.003186389773522726
speed_x_growth,0.003064952582195703
is_growing,0.0012353748667869823
is_closing,0.0012259459358023234
