feature,importance_mean,importance_std
dist_min_log,0.004524886877828038,0.003199578195414231
dist_min_ci_0_5h,0.0016968325791855143,0.0021906014401625582
num_perimeters_0_5h,0.0,0.0
area_first_ha,0.0,0.0
area_growth_abs_0_5h,0.0,0.0
dt_first_last_0_5h,0.0,0.0
low_temporal_resolution_0_5h,0.0,0.0
log1p_area_first,0.0,0.0
log1p_growth,0.0,0.0
log_area_ratio_0_5h,0.0,0.0
radial_growth_m,0.0,0.0
centroid_displacement_m,0.0,0.0
centroid_speed_m_per_h,0.0,0.0
area_growth_rel_0_5h,0.0,0.0
area_growth_rate_ha_per_h,0.0,0.0
spread_bearing_sin,0.0,0.0
spread_bearing_deg,0.0,0.0
dist_std_ci_0_5h,0.0,0.0
spread_bearing_cos,0.0,0.0
dist_slope_ci_0_5h,0.0,0.0
closing_speed_m_per_h,0.0,0.0
projected_advance_m,0.0,0.0
dist_change_ci_0_5h,0.0,0.0
dist_fit_r2_0_5h,0.0,0.0
alignment_cos,0.0,0.0
alignment_abs,0.0,0.0
cross_track_component,0.0,0.0
along_track_speed,0.0,0.0
event_start_hour,0.0,0.0
event_start_dayofweek,0.0,0.0
dist_accel_m_per_h2,0.0,0.0
event_start_month,0.0,0.0
threat_score,0.0,0.0
projected_arrival_h,0.0,0.0
is_closing,0.0,0.0
dist_bin,0.0,0.0
advance_ratio,0.0,0.0
alignment_x_speed,0.0,0.0
is_growing,0.0,0.0
growth_x_proximity,0.0,0.0
speed_x_growth,0.0,0.0
hour_sin,0.0,0.0
hour_cos,0.0,0.0
month_sin,0.0,0.0
month_cos,0.0,0.0
is_daytime,0.0,0.0
is_weekend,0.0,0.0
